Calendar Year,Sum of Commercial Total,Sum of Waste Management Total,Sum of Agriculture Total,Sum of Transport Total,Sum of Domestic Total,Sum of Public Sector Total,Sum of Industry Total,Sum of LULUCF Net Emissions
2005,5809.331253,993.1325038,4028.975542,13501.32343,13449.53609,2157.052152,10110.46507,-317.5936281
2006,6076.632436,982.898678,3977.611559,13305.49125,13583.31757,2068.2373,10197.71427,-326.8628706
2007,5783.889127,1704.174232,3905.02243,13427.29016,13081.8356,1940.546956,10138.23525,-364.1681074
2008,5577.45716,1555.034766,3896.858302,12933.3072,13033.41472,1836.585244,9265.801065,-409.084036
2009,4712.011264,2215.670625,3807.240767,12494.98941,11835.16796,1569.812241,8063.486578,-410.3810532
2010,5001.267074,2569.207488,3840.081371,12409.0328,12685.40312,1702.472983,8605.356043,-416.0019186
2011,4672.226863,2099.16877,3761.345066,12275.0123,11112.642,1543.437224,8053.840463,-437.6390045
2012,4997.596854,2004.062529,3809.765776,12166.68808,11868.95121,1655.926145,7934.255575,-405.3661061
2013,4772.413248,1965.555586,3722.949528,12070.62613,11531.52719,1632.970841,7930.368103,-444.5167002
2014,4075.739643,1760.41934,3809.989355,12321.71217,9798.620535,1407.210297,7683.166895,-443.1137736
2015,3700.093353,1781.099069,3805.79878,12586.05122,9562.443689,1343.820223,7258.445476,-467.1355313
2016,3288.671641,1976.630326,3692.000037,12802.31773,9036.525528,1185.686926,6871.729735,-419.9054085
2017,2555.056076,2203.734087,3766.397313,12775.51579,8585.065579,1247.662167,6795.989583,-447.1648623
2018,1707.805299,2002.438545,3806.417076,12562.28853,8419.354441,1400.427797,7338.841582,-432.5693676
2019,1378.760231,1934.145194,3752.726686,12222.7666,8136.337663,1289.674005,6823.598748,-457.9060921
2020,1094.025601,1725.606782,3573.008128,9941.294068,7960.604044,1210.227228,6329.377088,-461.5027946
2021,1289.487328,1643.074363,3639.604571,11009.60602,8254.300582,1333.317247,7025.526089,-458.060889
